(0,18,384,7536)	[(0,18,384,7536); (0,18,384,7488); (0,18,384,7464)]	[(0,18,384,7536); (0,18,384,7488); (0,18,384,7464)]
(1,18,1289,7536)	[(1,18,1289,7536); (1,18,6001,5928); (1,18,1289,4152)]	[(1,18,1289,7536); (1,18,1289,4152); (1,9,1289,5928)]
(5,10,18,7536)	[(5,10,18,7536); (5,10,18,7440); (5,22,18,7512)]	[(5,10,18,7536); (5,10,18,7440); (5,22,18,7512)]
(5,13,329,7536)	[(5,13,329,7536); (5,13,802,7008); (5,13,802,6168)]	[(5,13,329,7536); (12,13,329,7392); (12,13,329,7176)]
(5,15,18,7536)	[(5,15,18,7536); (5,15,18,6432); (5,15,18,3888)]	[(5,15,18,7536); (5,15,18,6432); (871,15,18,7464)]
(5,22,2687,7536)	[(5,22,2687,7536); (5,22,2687,6720); (5,22,2687,6696)]	[(5,22,2687,7536); (5,22,2687,6720); (5,22,2687,6696)]
(5,41,12,7536)	[(5,41,12,7536); (5,41,12,7512); (5,41,12,7032)]	[(5,41,12,7536); (5,41,12,7512); (5,41,12,7032)]
(5,43,18,7536)	[(5,43,18,7536); (5,43,18,7512); (5,43,18,7464)]	[(5,43,18,7536); (5,43,18,7512); (5,43,18,7464)]
(8,12,7,7536)	[(8,12,7,7536); (8,89,1332,7320); (8,89,1332,7296)]	[(8,12,7,7536); (8,52,7,6696); (8,217,7,5424)]
(8,17,12,7536)	[(8,17,12,7536); (8,17,12,7320); (8,17,12,7224)]	[(8,17,12,7536); (8,17,12,7320); (8,17,12,7224)]
(8,25,329,7536)	[(8,25,329,7536); (8,25,12,6120); (8,25,12,5448)]	[(8,25,329,7536); (2150,25,329,7536); (877,25,329,4536)]
(8,93,12,7536)	[(8,93,12,7536); (8,17,12,7536); (8,17,12,7320)]	[(8,93,12,7536); (8,17,12,7536); (8,17,12,7320)]
(11,14,6711,7536)	[(11,14,6711,7536); (11,14,8,6864); (11,14,8,6840)]	[(11,14,6711,7536); (6711,7,11,7536); (4023,14,12,7128)]
(12,0,18,7536)	[(12,0,18,7536); (12,0,18,7512); (12,0,18,7440)]	[(12,0,18,7536); (12,0,18,7512); (12,0,18,7440)]
(12,2,329,7536)	[(12,2,329,7536); (12,48,8,7056); (12,87,329,6240)]	[(12,2,329,7536); (12,87,329,6240); (12,15,329,6936)]
(12,4,1532,7536)	[(12,4,1532,7536); (12,4,8,7440); (12,4,8,6912)]	[(12,4,1532,7536); (1708,15,1532,7176); (1532,17,329,7176)]
(12,7,936,7536)	[(12,7,936,7536); (12,7,936,7176); (12,7,936,6528)]	[(12,7,936,7536); (12,7,936,7176); (12,7,936,6528)]
(12,8,2150,7536)	[(12,8,2150,7536); (12,8,1332,5928); (12,13,2150,7536)]	[(12,8,2150,7536); (5917,8,2150,7536); (12,13,2150,7536)]
(12,13,2150,7536)	[(12,13,2150,7536); (12,13,329,7392); (12,13,329,7176)]	[(12,13,2150,7536); (845,13,2150,7536); (5917,13,2150,7536)]
