(4048,1,4049,183)	[(4048,1,4049,183); (4048,1,4049,182); (4048,1,4049,181); (4048,1,4049,180); (4048,1,4049,179)]	[(4048,1,4049,183); (4048,1,4049,182); (4048,1,4049,181); (4048,1,4049,180); (4048,1,4049,179)]
(6546,5,7231,183)	[(6546,5,7231,183); (6546,5,7231,182); (6546,5,7231,181); (6546,5,7231,180); (6546,5,7231,179)]	[(6546,5,7231,183); (6546,5,7231,182); (6546,5,7231,181); (6546,5,7231,180); (6546,5,7231,179)]
(2340,5,6449,183)	[(2340,5,6449,183); (2340,5,6449,182); (2340,5,6449,181); (2340,5,6449,180); (2340,5,6449,179)]	[(2340,5,6449,183); (2340,5,6449,182); (2340,5,6449,181); (2340,5,6449,180); (2340,5,6449,179)]
(6329,5,6330,183)	[(6329,5,6330,183); (6329,5,6330,182); (6329,5,6330,181); (6329,5,6330,180); (6329,5,6330,179)]	[(6329,5,6330,183); (6329,5,6330,182); (6329,5,6330,181); (6329,5,6330,180); (6329,5,6330,179)]
(2378,4,6165,183)	[(2378,4,6165,183); (2378,4,6165,182); (2378,4,6165,181); (2378,4,6165,180); (2378,4,6165,179)]	[(2378,4,6165,183); (2378,4,6165,182); (2378,4,6165,181); (2378,4,6165,180); (2378,4,6165,179)]
(8612,9,8613,183)	[(8612,9,8613,183); (8206,9,9173,174); (7936,9,9211,171); (8469,9,8470,126); (3267,9,9535,148)]	[(8612,9,8613,183); (8206,9,9173,174); (7936,9,9211,171); (8469,9,8470,126); (3267,9,9535,148)]
(3753,4,1086,183)	[(3753,4,1086,183); (3753,4,1086,182); (3753,4,1086,181); (3753,4,1086,180); (3753,4,1086,179)]	[(3753,4,1086,183); (3753,4,1086,182); (3753,4,1086,181); (3753,4,1086,180); (3753,4,1086,179)]
(6525,5,6869,183)	[(6525,5,6869,183); (6525,5,6869,182); (6525,5,6869,181); (6525,5,6869,180); (6525,5,6869,179)]	[(6525,5,6869,183); (6525,5,6869,182); (6525,5,6869,181); (6525,5,6869,180); (6525,5,6869,179)]
(4122,1,4123,183)	[(4122,1,4123,183); (4122,1,4123,182); (4122,1,4123,181); (4122,1,4123,180); (4122,1,4123,179)]	[(4122,1,4123,183); (4122,1,4123,182); (4122,1,4123,181); (4122,1,4123,180); (4122,1,4123,179)]
(6383,5,6417,183)	[(6383,5,6417,183); (6383,5,6417,182); (6383,5,6417,181); (6383,5,6417,180); (6383,5,6417,179)]	[(6383,5,6417,183); (6383,5,6417,182); (6383,5,6417,181); (6383,5,6417,180); (6383,5,6417,179)]
(6538,5,6539,183)	[(6538,5,6539,183); (6538,5,6539,182); (6538,5,6539,181); (6538,5,6539,180); (6538,5,6539,179)]	[(6538,5,6539,183); (6538,5,6539,182); (6538,5,6539,181); (6538,5,6539,180); (6538,5,6539,179)]
(3393,1,3949,183)	[(3393,1,3949,183); (3393,1,4158,180); (3393,1,4158,179); (3393,1,4158,178); (3393,1,4158,177)]	[(3393,1,3949,183); (3393,1,3816,138); (3511,1,3858,170); (2858,1,4124,171); (4080,1,3884,159)]
(2942,4,2429,183)	[(2942,4,2429,183); (2942,4,2429,182); (2942,4,2429,181); (2942,4,2429,180); (2942,4,2429,179)]	[(2942,4,2429,183); (2942,4,2429,182); (2942,4,2429,181); (2942,4,2429,180); (2942,4,2429,179)]
(7420,5,6520,183)	[(7420,5,6520,183); (7420,5,6520,182); (7420,5,6520,181); (7420,5,6520,180); (7420,5,6520,179)]	[(7420,5,6520,183); (7420,5,6520,182); (7420,5,6520,181); (7420,5,6520,180); (7420,5,6520,179)]
(4103,1,3848,183)	[(4103,1,3848,183); (4103,1,3848,182); (4103,1,3848,181); (4103,1,3848,180); (4103,1,3848,179)]	[(4103,1,3848,183); (4103,1,3848,182); (4103,1,3848,181); (4103,1,3848,180); (4103,1,3848,179)]
(6418,5,7096,183)	[(6418,5,7096,183); (6418,5,7096,182); (6418,5,7096,181); (6418,5,7096,180); (6418,5,7096,179)]	[(6418,5,7096,183); (6418,5,7096,182); (6418,5,7096,181); (6418,5,7096,180); (6418,5,7096,179)]
(7814,8,7674,183)	[(7814,8,7674,183); (7814,8,7674,182); (7814,8,7674,181); (7814,8,7674,180); (7814,8,7674,179)]	[(7814,8,7674,183); (7814,8,7674,182); (7814,8,7674,181); (7814,8,7674,180); (7814,8,7674,179)]
(6785,5,6786,183)	[(6785,5,6786,183); (6785,5,6786,182); (6785,5,6786,181); (6785,5,6786,180); (6785,5,6786,179)]	[(6785,5,6786,183); (6785,5,6786,182); (6785,5,6786,181); (6785,5,6786,180); (6785,5,6786,179)]
(3558,4,536,183)	[(3558,4,536,183); (3558,4,536,182); (3558,4,536,181); (3558,4,536,180); (536,4,3558,183)]	[(3558,4,536,183); (3558,4,536,182); (3558,4,536,181); (3558,4,536,180); (536,4,3558,183)]
(7086,5,7087,183)	[(7086,5,7087,183); (7086,5,7087,182); (7086,5,7087,181); (7086,5,7087,180); (7086,5,7087,179)]	[(7086,5,7087,183); (7086,5,7087,182); (7086,5,7087,181); (7086,5,7087,180); (7086,5,7087,179)]
(6807,5,6907,183)	[(6807,5,6907,183); (6807,5,6907,182); (6807,5,6907,181); (6807,5,6907,180); (6807,5,6907,179)]	[(6807,5,6907,183); (6807,5,6907,182); (6807,5,6907,181); (6807,5,6907,180); (6807,5,6907,179)]
(522,9,7016,183)	[(522,9,7016,183); (522,7,139,117); (522,0,67,31); (8206,9,9173,174); (3267,9,9535,148)]	[(522,9,7016,183); (7016,5,7017,101); (7016,5,7017,100); (7016,5,7017,99); (7016,5,7017,98)]
(3393,1,4006,183)	[(3393,1,4006,183); (3393,1,4006,182); (3393,1,4006,181); (3393,1,4006,180); (3393,1,4006,179)]	[(3393,1,4006,183); (3393,1,4006,182); (3393,1,4006,181); (3393,1,4006,180); (3393,1,4006,179)]
(6692,5,6374,183)	[(6692,5,6374,183); (6692,5,6374,182); (6692,5,6374,181); (6692,5,6374,180); (6692,5,6374,179)]	[(6692,5,6374,183); (6692,5,6374,182); (6692,5,6374,181); (6692,5,6374,180); (6692,5,6374,179)]
(6499,5,6500,183)	[(6499,5,6500,183); (6499,5,6500,182); (6499,5,6500,181); (6499,5,6500,180); (6499,5,6500,179)]	[(6499,5,6500,183); (6499,5,6500,182); (6499,5,6500,181); (6499,5,6500,180); (6499,5,6500,179)]
(2764,3,5503,183)	[(2764,3,5503,183); (2764,3,5943,176); (2764,3,5315,172); (2764,0,925,136); (5937,3,5542,169)]	[(2764,3,5503,183); (5713,3,5503,174); (5645,3,5503,168); (5452,3,5503,171); (5967,3,5503,181)]
(3854,1,3890,183)	[(3854,1,3890,183); (3854,1,3890,182); (3854,1,3890,181); (3854,1,3890,180); (3854,1,3890,179)]	[(3854,1,3890,183); (3854,1,3890,182); (3854,1,3890,181); (3854,1,3890,180); (3854,1,3890,179)]
(3150,4,2211,183)	[(3150,4,2211,183); (3150,4,2211,182); (2211,4,3150,183); (2211,4,3150,182); (3150,0,559,151)]	[(3150,4,2211,183); (3150,4,2211,182); (2211,4,3150,183); (2211,4,3150,182); (2211,0,120,148)]
(2208,4,3324,183)	[(2208,4,3324,183); (2208,4,3324,182); (2208,4,3324,181); (3324,4,2208,183); (3324,4,2208,182)]	[(2208,4,3324,183); (2208,4,3324,182); (2208,4,3324,181); (3324,4,2208,183); (3324,4,2208,182)]
(6596,5,6597,183)	[(6596,5,6597,183); (6596,5,6597,182); (6596,5,6597,181); (6596,5,6597,180); (6596,5,6597,179)]	[(6596,5,6597,183); (6596,5,6597,182); (6596,5,6597,181); (6596,5,6597,180); (6596,5,6597,179)]
(7221,5,7222,183)	[(7221,5,7222,183); (7221,5,7222,182); (7221,5,7222,181); (7221,5,7222,180); (7221,5,7222,179)]	[(7221,5,7222,183); (7221,5,7222,182); (7221,5,7222,181); (7221,5,7222,180); (7221,5,7222,179)]
(6413,5,6992,183)	[(6413,5,6992,183); (6413,5,6992,182); (6413,5,6992,181); (6413,5,6992,180); (6413,5,6992,179)]	[(6413,5,6992,183); (6413,5,6992,182); (6413,5,6992,181); (6413,5,6992,180); (6413,5,6992,179)]
(6418,5,7011,183)	[(6418,5,7011,183); (6418,5,7011,182); (6418,5,7011,181); (6418,5,7011,180); (6418,5,7011,179)]	[(6418,5,7011,183); (6418,5,7011,182); (6418,5,7011,181); (6418,5,7011,180); (6418,5,7011,179)]
(6148,4,1852,183)	[(6148,4,1852,183); (6148,4,1852,182); (6148,4,1852,181); (6148,4,1852,180); (6148,4,1852,179)]	[(6148,4,1852,183); (6148,4,1852,182); (6148,4,1852,181); (6148,4,1852,180); (6148,4,1852,179)]
(909,4,2684,183)	[(909,4,2684,183); (909,4,2684,182); (909,4,2684,181); (909,4,2684,180); (909,4,2684,179)]	[(909,4,2684,183); (909,4,2684,182); (909,4,2684,181); (909,4,2684,180); (909,4,2684,179)]
