(5754,15,4776,344)	[(5754,15,4776,344); (5754,6,5033,56); (5754,21,1973,54); (4235,15,524,343); (4108,15,85,340); (5151,15,524,342); (2308,15,5557,327)]	[(5754,15,4776,344); (5151,15,4776,344); (5162,15,4776,344); (1095,15,4776,336); (1095,15,4776,335); (1095,15,4776,334); (1095,15,4776,333)]
(5151,15,4776,344)	[(5151,15,4776,344); (5151,15,114,331); (5151,15,524,344); (5151,15,524,343); (5151,15,524,342); (5151,15,524,341); (5151,15,524,340)]	[(5151,15,4776,344); (1095,15,4776,336); (1095,15,4776,335); (1095,15,4776,334); (1095,15,4776,333); (2262,15,4776,339); (1095,15,4776,332)]
(5162,15,4776,344)	[(5162,15,4776,344); (4108,15,85,340); (4235,15,524,343); (2308,15,5557,327); (4031,15,2533,317); (5151,15,524,342); (4108,15,85,248)]	[(5162,15,4776,344); (5754,15,4776,344); (41,15,4776,329); (1095,15,4776,336); (1095,15,4776,335); (1095,15,4776,334); (1095,15,4776,333)]
(1849,11,1539,344)	[(1849,11,1539,344); (1849,11,1539,343); (1849,11,1539,342); (1849,11,1539,310); (1849,11,1539,309); (1849,11,1539,308); (1849,11,1539,292)]	[(1849,11,1539,344); (1849,11,1539,343); (1849,11,1539,342); (1849,11,1539,310); (1849,11,1539,309); (1849,11,1539,308); (1849,11,1539,292)]
(2766,11,1539,344)	[(2766,11,1539,344); (2766,11,1539,343); (2766,11,1539,342); (2766,11,1539,310); (2766,11,1539,309); (2766,11,1539,308); (2766,11,1539,292)]	[(2766,11,1539,344); (2766,11,1539,343); (2766,11,1539,342); (2766,11,1539,310); (2766,11,1539,309); (2766,11,1539,308); (2766,11,1539,292)]
(2658,11,1539,344)	[(2658,11,1539,344); (2658,11,1539,343); (2658,11,1539,342); (2658,11,1539,310); (2658,11,1539,309); (2658,11,1539,308); (2658,11,1539,292)]	[(2658,11,1539,344); (2658,11,1539,343); (2658,11,1539,342); (2658,11,1539,310); (2658,11,1539,309); (2658,11,1539,308); (2658,11,1539,292)]
(1128,11,524,344)	[(1128,11,524,344); (1128,11,524,343); (1128,11,524,342); (1128,11,524,341); (1128,11,524,340); (1128,11,524,339); (1128,11,524,338)]	[(1128,11,524,344); (1128,11,524,343); (1128,11,524,342); (1128,11,524,341); (1128,11,524,340); (1128,11,524,339); (1128,11,524,338)]
(2277,11,524,344)	[(2277,11,524,344); (2277,11,524,343); (2277,11,524,342); (2277,11,524,341); (2277,11,524,340); (2277,11,524,339); (2277,11,524,338)]	[(2277,11,524,344); (2277,11,524,343); (2277,11,524,342); (2277,11,524,341); (2277,11,524,340); (2277,11,524,339); (2277,11,524,338)]
(3211,11,524,344)	[(3211,11,524,344); (3211,11,524,343); (3211,11,524,342); (3211,11,524,341); (3211,11,524,340); (3211,11,524,339); (3211,11,524,338)]	[(3211,11,524,344); (3211,11,524,343); (3211,11,524,342); (3211,11,524,341); (3211,11,524,340); (3211,11,524,339); (3211,11,524,338)]
(2078,15,524,344)	[(2078,15,524,344); (2078,15,524,343); (2078,15,524,342); (2078,15,524,341); (2078,15,524,340); (2078,15,524,339); (2078,15,524,338)]	[(2078,15,524,344); (2078,15,524,343); (2078,15,524,342); (2078,15,524,341); (2078,15,524,340); (2078,15,524,339); (2078,15,524,338)]
(4235,15,524,344)	[(4235,15,524,344); (4235,15,524,343); (4235,15,524,342); (4235,15,524,341); (4235,15,524,340); (4235,15,524,339); (4235,15,524,338)]	[(4235,15,524,344); (4235,15,524,343); (4235,15,524,342); (4235,15,524,341); (4235,15,524,340); (4235,15,524,339); (4235,15,524,338)]
(3628,15,524,344)	[(3628,15,524,344); (3628,15,524,343); (3628,15,524,342); (3628,15,524,341); (3628,15,524,340); (3628,15,524,339); (3628,15,524,338)]	[(3628,15,524,344); (3628,15,524,343); (3628,15,524,342); (3628,15,524,341); (3628,15,524,340); (3628,15,524,339); (3628,15,524,338)]
(4750,18,1573,344)	[(4750,18,1573,344); (4750,18,1573,343); (4750,18,1573,342); (4750,18,3573,328); (4750,18,3573,313); (4750,18,3573,311); (4750,18,3573,310)]	[(4750,18,1573,344); (4750,18,1573,343); (4750,18,1573,342); (4284,18,1573,341); (4284,18,1573,340); (4284,18,1573,339); (4284,18,1573,338)]
(2766,18,1573,344)	[(2766,18,1573,344); (2766,18,1573,343); (2766,18,1573,342); (2766,18,1573,341); (2766,18,1573,340); (2766,18,1573,339); (2766,18,1573,338)]	[(2766,18,1573,344); (2766,18,1573,343); (2766,18,1573,342); (2766,18,1573,341); (2766,18,1573,340); (2766,18,1573,339); (2766,18,1573,338)]
(2561,18,1573,344)	[(2561,18,1573,344); (2561,18,1573,343); (2561,18,1573,342); (2561,18,3573,313); (2561,18,3573,311); (2561,18,3573,310); (2561,18,3573,309)]	[(2561,18,1573,344); (2561,18,1573,343); (2561,18,1573,342); (2766,18,1573,344); (2766,18,1573,343); (2766,18,1573,342); (2766,18,1573,341)]
(2474,6,4768,344)	[(2474,6,4768,344); (2474,6,4768,343); (2474,6,4768,342); (2474,6,4768,341); (2474,6,4768,340); (2474,6,4768,339); (2474,6,4768,338)]	[(2474,6,4768,344); (2474,6,4768,343); (2474,6,4768,342); (2474,6,4768,341); (2474,6,4768,340); (2474,6,4768,339); (2474,6,4768,338)]
(2474,6,3074,344)	[(2474,6,3074,344); (2474,6,3074,343); (2474,6,3074,342); (2474,6,3074,341); (2474,6,3074,340); (2474,6,3074,339); (2474,6,3074,338)]	[(2474,6,3074,344); (2474,6,3074,343); (2474,6,3074,342); (2474,6,3074,341); (2474,6,3074,340); (2474,6,3074,339); (2474,6,3074,338)]
(2474,6,4167,344)	[(2474,6,4167,344); (2474,6,4167,343); (2474,6,4167,342); (2474,6,4167,341); (2474,6,4167,340); (2474,6,4167,339); (2474,6,4167,338)]	[(2474,6,4167,344); (2474,6,4167,343); (2474,6,4167,342); (2474,6,4167,341); (2474,6,4167,340); (2474,6,4167,339); (2474,6,4167,338)]
(2474,6,3883,344)	[(2474,6,3883,344); (2474,6,3883,343); (2474,6,3883,342); (2474,6,3883,341); (2474,6,3883,340); (2474,6,3883,339); (2474,6,3883,338)]	[(2474,6,3883,344); (2474,6,3883,343); (2474,6,3883,342); (2474,6,3883,341); (2474,6,3883,340); (2474,6,3883,339); (2474,6,3883,338)]
(5075,6,4768,344)	[(5075,6,4768,344); (5075,6,4768,343); (5075,6,4768,342); (5075,6,4768,341); (5075,6,4768,340); (5075,6,4768,339); (5075,6,4768,338)]	[(5075,6,4768,344); (5075,6,4768,343); (5075,6,4768,342); (5075,6,4768,341); (5075,6,4768,340); (5075,6,4768,339); (5075,6,4768,338)]
(5075,6,3074,344)	[(5075,6,3074,344); (5075,6,3074,343); (5075,6,3074,342); (5075,6,3074,341); (5075,6,3074,340); (5075,6,3074,339); (5075,6,3074,338)]	[(5075,6,3074,344); (5075,6,3074,343); (5075,6,3074,342); (5075,6,3074,341); (5075,6,3074,340); (5075,6,3074,339); (5075,6,3074,338)]
(5075,6,4167,344)	[(5075,6,4167,344); (5075,6,4167,343); (5075,6,4167,342); (5075,6,4167,341); (5075,6,4167,340); (5075,6,4167,339); (5075,6,4167,338)]	[(5075,6,4167,344); (5075,6,4167,343); (5075,6,4167,342); (5075,6,4167,341); (5075,6,4167,340); (5075,6,4167,339); (5075,6,4167,338)]
(5075,6,3883,344)	[(5075,6,3883,344); (5075,6,3883,343); (5075,6,3883,342); (5075,6,3883,341); (5075,6,3883,340); (5075,6,3883,339); (5075,6,3883,338)]	[(5075,6,3883,344); (5075,6,3883,343); (5075,6,3883,342); (5075,6,3883,341); (5075,6,3883,340); (5075,6,3883,339); (5075,6,3883,338)]
(2574,6,4768,344)	[(2574,6,4768,344); (2574,6,4768,343); (2574,6,4768,342); (2574,6,4768,341); (2574,6,4768,340); (2574,6,4768,339); (2574,6,4768,338)]	[(2574,6,4768,344); (2574,6,4768,343); (2574,6,4768,342); (2574,6,4768,341); (2574,6,4768,340); (2574,6,4768,339); (2574,6,4768,338)]
(2574,6,3074,344)	[(2574,6,3074,344); (2574,6,3074,343); (2574,6,3074,342); (2574,6,3074,341); (2574,6,3074,340); (2574,6,3074,339); (2574,6,3074,338)]	[(2574,6,3074,344); (2574,6,3074,343); (2574,6,3074,342); (2574,6,3074,341); (2574,6,3074,340); (2574,6,3074,339); (2574,6,3074,338)]
(2574,6,4167,344)	[(2574,6,4167,344); (2574,6,4167,343); (2574,6,4167,342); (2574,6,4167,341); (2574,6,4167,340); (2574,6,4167,339); (2574,6,4167,338)]	[(2574,6,4167,344); (2574,6,4167,343); (2574,6,4167,342); (2574,6,4167,341); (2574,6,4167,340); (2574,6,4167,339); (2574,6,4167,338)]
(2574,6,3883,344)	[(2574,6,3883,344); (2574,6,3883,343); (2574,6,3883,342); (2574,6,3883,341); (2574,6,3883,340); (2574,6,3883,339); (2574,6,3883,338)]	[(2574,6,3883,344); (2574,6,3883,343); (2574,6,3883,342); (2574,6,3883,341); (2574,6,3883,340); (2574,6,3883,339); (2574,6,3883,338)]
(4254,11,1539,344)	[(4254,11,1539,344); (4254,11,1539,343); (4254,11,1539,337); (4254,11,1539,336); (4254,11,1539,335); (4254,11,1539,334); (4254,11,1539,333)]	[(4254,11,1539,344); (4254,11,1539,343); (4254,11,1539,337); (4254,11,1539,336); (4254,11,1539,335); (4254,11,1539,334); (4254,11,1539,333)]
(5151,11,1539,344)	[(5151,11,1539,344); (5151,11,1539,343); (5151,11,1539,342); (5151,11,1539,341); (5151,11,1539,340); (5151,11,1539,339); (5151,11,1539,338)]	[(5151,11,1539,344); (5151,11,1539,343); (5151,11,1539,342); (5151,11,1539,341); (5151,11,1539,340); (5151,11,1539,339); (5151,11,1539,338)]
(3099,11,1539,344)	[(3099,11,1539,344); (3099,11,1539,343); (3099,11,1539,337); (3099,11,1539,336); (3099,11,1539,335); (3099,11,1539,334); (3099,11,1539,333)]	[(3099,11,1539,344); (3099,11,1539,343); (3099,11,1539,337); (3099,11,1539,336); (3099,11,1539,335); (3099,11,1539,334); (3099,11,1539,333)]
(581,11,4030,344)	[(581,11,4030,344); (581,11,4030,343); (581,11,4030,342); (581,11,4030,341); (581,11,4030,323); (581,11,4030,322); (581,11,4030,321)]	[(581,11,4030,344); (581,11,4030,343); (581,11,4030,342); (581,11,4030,341); (581,11,4030,323); (581,11,4030,322); (581,11,4030,321)]
(1460,11,4030,344)	[(1460,11,4030,344); (1460,11,4030,332); (1460,11,4030,331); (1460,11,4030,267); (1460,11,4030,266); (1460,11,4030,265); (1460,11,4030,264)]	[(1460,11,4030,344); (1460,11,4030,332); (1460,11,4030,331); (4896,11,4030,340); (4896,11,4030,339); (4896,11,4030,338); (1460,11,4030,267)]
(599,9,3018,344)	[(599,9,3018,344); (599,9,524,306); (599,9,3018,195); (599,9,524,282); (599,11,4030,343); (599,11,4030,342); (599,11,4030,341)]	[(599,9,3018,344); (599,9,3018,195); (2878,9,3018,295); (4992,11,3018,202); (4992,11,3018,201); (4992,11,3018,200); (4992,11,3018,199)]
(162,11,59,344)	[(162,11,59,344); (162,11,59,343); (162,11,4811,342); (162,11,137,340); (162,11,4606,334); (162,11,4606,333); (162,11,4606,331)]	[(162,11,59,344); (162,11,59,343); (1128,11,59,344); (1128,11,59,343); (1128,11,59,342); (1128,11,59,341); (1128,11,59,339)]
(162,11,5588,344)	[(162,11,5588,344); (162,11,5588,343); (162,11,524,341); (162,11,524,332); (162,11,4606,334); (162,11,4606,333); (162,11,4606,331)]	[(162,11,5588,344); (162,11,5588,343); (1128,11,5588,344); (1128,11,5588,343); (1128,11,5588,342); (1128,11,5588,341); (1128,11,5588,339)]
(162,22,5044,344)	[(162,22,5044,344); (162,22,5044,343); (162,22,5044,342); (162,22,5044,341); (162,22,5044,333); (162,22,5044,332); (162,22,5044,272)]	[(162,22,5044,344); (162,22,5044,343); (162,22,5044,342); (162,22,5044,341); (162,22,5044,333); (162,22,5044,332); (162,22,5044,272)]
(2151,11,3981,344)	[(2151,11,3981,344); (2151,11,3981,338); (2151,11,3981,331); (2151,11,3981,329); (2151,11,3981,328); (2151,11,3981,327); (2151,11,3981,322)]	[(2151,11,3981,344); (2151,11,3981,338); (2151,11,3981,331); (2151,11,3981,329); (2151,11,3981,328); (2151,11,3981,327); (2151,11,3981,322)]
(5261,11,3981,344)	[(5261,11,3981,344); (5261,11,3981,343); (5261,11,3981,342); (5261,11,3981,341); (5261,11,3981,336); (5261,11,3981,335); (5261,11,3981,334)]	[(5261,11,3981,344); (5261,11,3981,343); (5261,11,3981,342); (5261,11,3981,341); (5261,11,3981,336); (5261,11,3981,335); (5261,11,3981,334)]
(41,11,5506,344)	[(41,11,5506,344); (41,11,5506,200); (41,11,5023,290); (41,11,862,267); (41,15,4567,343); (41,15,4567,320); (41,15,4567,319)]	[(41,11,5506,344); (41,11,5506,200); (1095,11,5506,232); (972,11,5506,233); (2573,20,5506,299); (5183,23,5506,325); (4616,9,5506,271)]
(2352,13,1039,344)	[(2352,13,1039,344); (2352,13,1039,341); (2352,13,1039,337); (2352,13,1039,335); (2352,13,1039,316); (2352,13,1039,309); (2352,13,1039,308)]	[(2352,13,1039,344); (2352,13,1039,341); (2352,13,1039,337); (2352,13,1039,335); (2352,13,1039,316); (2352,13,1039,309); (2352,13,1039,308)]
(2352,13,2100,344)	[(2352,13,2100,344); (2352,13,2100,341); (2352,13,2100,337); (2352,13,5430,341); (2352,13,5430,337); (2352,13,5430,327); (2352,13,5430,319)]	[(2352,13,2100,344); (2352,13,2100,341); (2352,13,2100,337); (2970,13,2100,344); (2970,13,2100,341); (2970,13,2100,337); (899,13,2100,344)]
(899,13,1039,344)	[(899,13,1039,344); (899,13,1039,341); (899,13,1039,337); (899,13,1039,335); (899,13,1039,333); (899,13,1039,316); (899,13,1039,309)]	[(899,13,1039,344); (899,13,1039,341); (899,13,1039,337); (899,13,1039,335); (899,13,1039,333); (899,13,1039,316); (899,13,1039,309)]
(899,13,2100,344)	[(899,13,2100,344); (899,13,2100,341); (899,13,2100,337); (899,13,5430,343); (899,13,5430,341); (899,13,5430,337); (899,13,5430,333)]	[(899,13,2100,344); (899,13,2100,341); (899,13,2100,337); (899,13,2100,230); (2970,13,2100,344); (2970,13,2100,341); (2970,13,2100,337)]
(2970,13,1039,344)	[(2970,13,1039,344); (2970,13,1039,341); (2970,13,1039,337); (2970,13,1039,335); (2970,13,1039,316); (2970,13,1039,309); (2970,13,1039,308)]	[(2970,13,1039,344); (2970,13,1039,341); (2970,13,1039,337); (2970,13,1039,335); (2970,13,1039,316); (2970,13,1039,309); (2970,13,1039,308)]
(2970,13,2100,344)	[(2970,13,2100,344); (2970,13,2100,341); (2970,13,2100,337); (2970,13,5430,341); (2970,13,5430,337); (2970,13,5430,327); (2970,13,5430,319)]	[(2970,13,2100,344); (2970,13,2100,341); (2970,13,2100,337); (4344,13,2100,306); (899,13,2100,344); (899,13,2100,341); (2352,13,2100,344)]
(4850,11,3833,344)	[(4850,11,3833,344); (4850,11,3833,343); (4850,11,3833,341); (4850,11,3833,340); (4850,11,3833,238); (4850,11,3833,237); (4850,11,154,344)]	[(4850,11,3833,344); (4850,11,3833,343); (4850,11,3833,341); (4850,11,3833,340); (4850,11,3833,238); (4850,11,3833,237); (5294,11,3833,344)]
(1610,11,3833,344)	[(1610,11,3833,344); (1610,11,3833,341); (1610,11,1126,343); (1610,11,5284,344); (1610,11,5284,342); (1610,11,5430,344); (1610,11,5430,342)]	[(1610,11,3833,344); (1610,11,3833,341); (5294,11,3833,344); (5294,11,3833,341); (2195,11,3833,344); (2195,11,3833,343); (2195,11,3833,341)]
